"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_symbol","classification"
2046.39398149882,6.89763282302795,0.556070251051326,12.4042471432109,2.47831167968455e-35,5.83097171996182e-31,"ENSG00000115155.16","OTOF","Upregulated"
15050.8638221926,5.14980493330946,0.432253805155671,11.9138452267756,1.00245413280641e-32,1.17928704183346e-28,"ENSG00000137959.15","IFI44L","Upregulated"
10402.3508626017,6.79263873014907,0.575073710882775,11.811770563676,3.39339105412808e-32,2.66132349071752e-28,"ENSG00000165949.12","IFI27","Upregulated"
7922.97982685319,4.44152389915997,0.391797515297433,11.3362737785312,8.67605239249656e-30,5.10325401726647e-26,"ENSG00000137965.10","IFI44","Upregulated"
4831.2797867942,4.65572286598287,0.417294465423366,11.1569245502919,6.62436801360657e-29,3.11716261248271e-25,"ENSG00000088827.12","SIGLEC1","Upregulated"
18162.2989140327,4.81947433498516,0.443133572356521,10.875895295759,1.5017416191981e-27,5.88882946941549e-24,"ENSG00000134321.11","RSAD2","Upregulated"
1106.93211398101,4.30425844073292,0.412704968726467,10.4293836200109,1.82065480134558e-25,6.11948088086553e-22,"ENSG00000184979.9","USP18","Upregulated"
160.995419590858,4.08428758867969,0.400331883469773,10.2022540729961,1.93723399783679e-24,5.697405187638e-21,"ENSG00000225886.3","RP11-288L9.4","Upregulated"
274.569364328903,4.28148226820901,0.421019360373916,10.1693239579447,2.71788449978901e-24,7.10515405678176e-21,"ENSG00000161133.16","USP41","Upregulated"
15490.9851394436,3.90731206716996,0.386124788769156,10.1192986848248,4.53654470705386e-24,1.06735823867563e-20,"ENSG00000185745.9","IFIT1","Upregulated"
499.596639883038,3.6981446300088,0.368727426181293,10.0294807693272,1.13109834876536e-23,2.41931654088649e-20,"ENSG00000214872.8","SMTNL1","Upregulated"
75.499228036873,2.61331295320845,0.265080657609207,9.85855768119113,6.29470786754712e-23,1.2341823892304e-19,"ENSG00000276863.1","CTD-2047H16.5","Upregulated"
23442.4558614126,3.7040288586915,0.380703719593655,9.7294265016507,2.25862729951847e-22,4.08776793100542e-19,"ENSG00000111331.12","OAS3","Upregulated"
114.205974158891,4.39375496663502,0.455204946037527,9.65225664809187,4.80857157444409e-22,8.08114800025146e-19,"ENSG00000205837.7","LINC00487","Upregulated"
6483.17409674339,3.32305972659289,0.344818173423877,9.63713627271009,5.57207332008501e-22,8.73998273833068e-19,"ENSG00000138646.8","HERC5","Upregulated"
