"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001235","positive regulation of apoptotic signaling pathway","12/502","94/13158",0.127659574468085,3.34610494193439,4.54627118797947,0.000231083096502227,0.00597341117123802,0.00472510396522717,"GPER1/BCL2L14/S100A8/SEPTIN4/PPARG/TNFSF10/PML/SFRP1/INHBA/VNN1/CAV1/G0S2",12
"GO:1901987","regulation of cell cycle phase transition","30/502","393/13158",0.0763358778625954,2.00085155560962,4.01178450828485,0.000243166261474486,0.00618894645524266,0.00489559727230109,"CDC45/DTX3L/CCL2/BIRC5/NDC80/E2F7/DLGAP5/KIF14/FBXO6/BUB1/CDC25C/CLSPN/SKA3/BRCA2/ESPL1/INHBA/ANLN/SPC25/CDC20/SKA1/BUB1B/DTL/CDC6/PARP9/NUF2/CDK1/RRM2/TTK/TICRR/CDC25A",30
"GO:0071706","tumor necrosis factor superfamily cytokine production","16/502","153/13158",0.104575163398693,2.7410358565737,4.31400173542225,0.000244821616612275,0.00618894645524266,0.00489559727230109,"EPHB2/CAMP/BPI/IGF1/OAS1/OAS2/LTF/MMP8/IFNG/RIGI/AZU1/OAS3/CD274/IFIH1/LY96/IL10",16
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","16/502","153/13158",0.104575163398693,2.7410358565737,4.31400173542225,0.000244821616612275,0.00618894645524266,0.00489559727230109,"EPHB2/CAMP/BPI/IGF1/OAS1/OAS2/LTF/MMP8/IFNG/RIGI/AZU1/OAS3/CD274/IFIH1/LY96/IL10",16
"GO:0032102","negative regulation of response to external stimulus","25/502","303/13158",0.0825082508250825,2.16263658238334,4.07766290637979,0.000248014427599178,0.00622389490573703,0.00492324229074627,"CCL2/GPER1/IGF1/PARP14/CEACAM1/ISG15/OAS1/ELANE/IL1RN/PPARG/CARD16/DHX58/IL1R2/STAT2/LTF/SERPING1/USP18/FAP/TNFAIP6/OAS3/IL18R1/ARG1/IL10/IFI16/MDK",25
"GO:0032602","chemokine production","10/502","69/13158",0.144927536231884,3.79871817079508,4.64207915741199,0.000268424033614646,0.00663914983861262,0.00525171837813804,"CAMP/ALOX15B/OAS1/ELANE/EIF2AK2/IFNG/AZU1/OAS3/FFAR3/IL10",10
"GO:0032642","regulation of chemokine production","10/502","69/13158",0.144927536231884,3.79871817079508,4.64207915741199,0.000268424033614646,0.00663914983861262,0.00525171837813804,"CAMP/ALOX15B/OAS1/ELANE/EIF2AK2/IFNG/AZU1/OAS3/FFAR3/IL10",10
"GO:0060333","type II interferon-mediated signaling pathway","6/502","25/13158",0.24,6.29067729083665,5.27328649824266,0.000285270834321223,0.0070054366314026,0.00554145955406041,"PARP14/PPARG/IFNG/SP100/PARP9/ARG1",6
"GO:0050000","chromosome localization","13/502","111/13158",0.117117117117117,3.06977495423711,4.361253674951,0.000306308252578134,0.00746870760541579,0.00590791742101998,"BIRC5/NDC80/DLGAP5/KIF14/CHMP5/SKA3/KIF2C/SPC25/NEK2/SKA1/NUF2/CDK1/TTK",13
"GO:0034341","response to type II interferon","12/502","97/13158",0.123711340206186,3.24261716022508,4.41504217175382,0.000311079999535255,0.0075316411155085,0.00595769925748832,"CCL2/PARP14/BST2/PPARG/GBP1/IFITM3/IFNG/SP100/PARP9/IFITM1/ARG1/GBP6",12
