"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_symbol","classification"
9.87077755629571,-1.2986876602726,0.182728461266291,-7.10719967361855,1.1842105265063e-12,2.30265332790414e-10,"ENSG00000124006.14","OBSL1","Downregulated"
6.09688345038575,-1.09628776118554,0.16340851535323,-6.70887780123186,1.96126818338612e-11,2.83096428335636e-09,"ENSG00000171056.7","SOX7","Downregulated"
28.7083399740422,-1.11825534401852,0.175137106530997,-6.38502808552796,1.71366015264053e-10,1.8710741255511e-08,"ENSG00000146072.6","TNFRSF21","Downregulated"
6.70406219116792,-1.20678239390251,0.191175025132994,-6.31244794168587,2.74655866675701e-10,2.72662583592653e-08,"ENSG00000167779.7","IGFBP6","Downregulated"
331.243973508047,-1.18595022370652,0.189897318118978,-6.2452183919916,4.23208372874122e-10,3.95128833213585e-08,"ENSG00000166428.12","PLD4","Downregulated"
5.59816316110749,-1.10369047203297,0.184743749529518,-5.97416949067942,2.31265270941644e-09,1.6339967851997e-07,"ENSG00000112414.14","ADGRG6","Downregulated"
6595.50062245001,-1.01905573933866,0.172403676266856,-5.91087012414577,3.40305275852898e-09,2.1995197329925e-07,"ENSG00000212907.2","MT-ND4L","Downregulated"
20.9587025504353,-1.5999998232242,0.273055573984405,-5.8596123854098,4.63948813897827e-09,2.85060578037914e-07,"ENSG00000109099.13","PMP22","Downregulated"
201.969473165038,-1.00716159851798,0.173210442074089,-5.81467021536254,6.07535384473987e-09,3.57352313147599e-07,"ENSG00000152207.7","CYSLTR2","Downregulated"
10.3105731384313,-1.22203538296647,0.210286110060644,-5.81129862839752,6.19900688905797e-09,3.62811527576508e-07,"ENSG00000142627.12","EPHA2","Downregulated"
7.65777246759798,-1.34340101702092,0.234098530567886,-5.73861362462225,9.54547121142882e-09,5.19874645052077e-07,"ENSG00000185818.7","NAT8L","Downregulated"
6.38693069672009,-1.23749147337185,0.217087113797857,-5.70043726558617,1.19500504353478e-08,6.20663988174092e-07,"ENSG00000100433.15","KCNK10","Downregulated"
24.0737510725803,-1.03816317170092,0.182574784847409,-5.68623521900128,1.29870489442804e-08,6.61383739309585e-07,"ENSG00000117519.15","CNN3","Downregulated"
342.455647587291,-1.484742156307,0.268337516799299,-5.53311431817975,3.14594282704031e-08,1.41255234417184e-06,"ENSG00000183134.4","PTGDR2","Downregulated"
34.5143312469356,-1.34399151513965,0.243694536316549,-5.51506626063156,3.48648577324182e-08,1.53614302009052e-06,"ENSG00000163520.13","FBLN2","Downregulated"
41.7264536565227,-1.22726789559009,0.223364801414995,-5.49445520429122,3.91918388539268e-08,1.69269350924562e-06,"ENSG00000148600.14","CDHR1","Downregulated"
376.471214184631,-1.47412839663012,0.271593193078411,-5.42770744701443,5.70825029662689e-08,2.29578996545363e-06,"ENSG00000179348.11","GATA2","Downregulated"
9.64994771622654,-1.10993080980726,0.204816115134841,-5.4191576140214,5.98805097184854e-08,2.3832242605087e-06,"ENSG00000090530.9","P3H2","Downregulated"
4.74802580613524,-1.31609378743523,0.244649818091475,-5.37950037200983,7.46928404715798e-08,2.79836488951486e-06,"ENSG00000066382.16","MPPED2","Downregulated"
83.0969758592692,-1.23495218908603,0.234831451697124,-5.25888751341035,1.44929505499775e-07,4.82305715049322e-06,"ENSG00000134489.6","HRH4","Downregulated"
29221.8148288213,-1.02980512359322,0.195836850616848,-5.25848490899201,1.45247102580944e-07,4.82679919424357e-06,"ENSG00000198727.2","MT-CYB","Downregulated"
243.869216243262,-1.48255492130588,0.28379835465383,-5.22397292653179,1.75124395578829e-07,5.64428325914889e-06,"ENSG00000091181.19","IL5RA","Downregulated"
461.516633682849,-1.18669274719972,0.228677387448151,-5.18937512992526,2.11000942188669e-07,6.57540419578147e-06,"ENSG00000112759.16","SLC29A1","Downregulated"
8.73469170056527,-1.13821620669361,0.219759165122369,-5.17937991828378,2.22624663021129e-07,6.86533626749757e-06,"ENSG00000169744.12","LDB2","Downregulated"
8.70154137679328,-1.22813385233557,0.24271944124511,-5.05989073654525,4.19496794736215e-07,1.16253481584849e-05,"ENSG00000164283.12","ESM1","Downregulated"
68.441043752283,-1.5558608704704,0.308197751682819,-5.04825509587627,4.45863551244617e-07,1.20716658615459e-05,"ENSG00000205927.4","OLIG2","Downregulated"
6.19859067777398,-1.2294765120096,0.246513135816633,-4.98746854984694,6.11755743956302e-07,1.55941377506001e-05,"ENSG00000158270.11","COLEC12","Downregulated"
22.7504313911339,-1.39682476382839,0.280394428462117,-4.98164236532648,6.30468748389658e-07,1.59845568018447e-05,"ENSG00000099998.17","GGT5","Downregulated"
13.5519677533235,-1.65512292633434,0.332615436521834,-4.976085727235,6.48829209133758e-07,1.63970500886134e-05,"ENSG00000186081.11","KRT5","Downregulated"
11.4004143329905,-1.08793104580656,0.219134720292872,-4.9646675996964,6.88188344688773e-07,1.72252078445079e-05,"ENSG00000162391.11","FAM151A","Downregulated"
9.95024877131822,-1.32380319241042,0.268117715120155,-4.93739547130323,7.91728172579924e-07,1.93204886945682e-05,"ENSG00000137672.12","TRPC6","Downregulated"
45.0383642636343,-1.21699985240711,0.250286765635982,-4.86242190758548,1.1595813226392e-06,2.62724545724508e-05,"ENSG00000149557.12","FEZ1","Downregulated"
26.6190044800553,-1.24020987876055,0.255818786317026,-4.848001574144,1.24711411640144e-06,2.78388054370903e-05,"ENSG00000154269.14","ENPP3","Downregulated"
9.19699482914343,-1.03654799760747,0.215081853139186,-4.81931870345513,1.44049285197742e-06,3.10935007535089e-05,"ENSG00000105251.10","SHD","Downregulated"
5.84337052018749,-1.24671673390884,0.261270043121967,-4.77175538003354,1.82627227998248e-06,3.80926721661594e-05,"ENSG00000168079.16","SCARA5","Downregulated"
26.4555809110381,-1.36482224410218,0.286397194388604,-4.7654874797771,1.88397596473621e-06,3.90883478821107e-05,"ENSG00000246363.2","RP11-13A1.1","Downregulated"
29.8599637791678,-1.25930555040343,0.265190792707594,-4.74867749949361,2.04751140481557e-06,4.1672879180364e-05,"ENSG00000148848.14","ADAM12","Downregulated"
23.371340619237,-1.2182387418501,0.259430466883733,-4.69581987221289,2.65539468347518e-06,5.17614963652064e-05,"ENSG00000271447.5","MMP28","Downregulated"
73.8258034893071,-1.33128715851737,0.286589254593882,-4.64527939264121,3.39616517313586e-06,6.30662779743808e-05,"ENSG00000131016.16","AKAP12","Downregulated"
12.1123677915369,-1.64898940647408,0.35602527110898,-4.63166393030936,3.62738619783371e-06,6.64681794880309e-05,"ENSG00000196581.10","AJAP1","Downregulated"
552.798627988971,-1.01946971973525,0.220162321574059,-4.6305367441918,3.64719050577053e-06,6.66752899920505e-05,"ENSG00000103056.11","SMPD3","Downregulated"
217.161030293517,-1.07646501535377,0.233715179957591,-4.60588403179076,4.10717245117247e-06,7.34297518474056e-05,"ENSG00000158715.5","SLC45A3","Downregulated"
56.9335779197236,-1.16077609164961,0.252648535240009,-4.5944303241137,4.339330844536e-06,7.6763741436273e-05,"ENSG00000142156.14","COL6A1","Downregulated"
8.38127566538726,-1.2934326883816,0.283568284710039,-4.56127415555019,5.08441437179419e-06,8.77024203369309e-05,"ENSG00000182379.9","NXPH4","Downregulated"
85.8182731085951,-1.13296662306062,0.252664679812609,-4.48407202740364,7.32319247318532e-06,0.000117450628840562,"ENSG00000003249.13","DBNDD1","Downregulated"
6.4913493563888,-1.03514485507799,0.23129199379723,-4.47548935042467,7.62364990531837e-06,0.000120868756719899,"ENSG00000153721.18","CNKSR3","Downregulated"
11.2777489707072,-1.60273419964263,0.358378703007516,-4.47218036728322,7.74260780454546e-06,0.000122113503472397,"ENSG00000157368.10","IL34","Downregulated"
103.7718872756,-1.20761384877616,0.275430124612306,-4.38446539018194,1.16270965708587e-05,0.000168346048073332,"ENSG00000183691.4","NOG","Downregulated"
49.3635635562434,-1.49357293966707,0.34280084028011,-4.35696989087494,1.31875400682924e-05,0.000186509407864224,"ENSG00000130433.7","CACNG6","Downregulated"
340.259245459398,-1.72973800413866,0.398212967086045,-4.34375107570242,1.40070223289371e-05,0.00019488895408352,"ENSG00000161905.12","ALOX15","Downregulated"
163.505512476962,-1.42488006123166,0.329009850776903,-4.33081276401615,1.4855996719671e-05,0.000204763849338265,"ENSG00000105366.15","SIGLEC8","Downregulated"
313.708387194883,-1.22289611038126,0.283835866625854,-4.30846222825411,1.64393543912688e-05,0.000220767768332062,"ENSG00000140287.10","HDC","Downregulated"
20.4156329081576,-1.06889481846635,0.248813702902201,-4.29596443442864,1.73935469678295e-05,0.000230461642812582,"ENSG00000211713.3","TRBV6-4","Downregulated"
92.497475459235,-1.71341072500655,0.399524290388201,-4.28862716542641,1.79780858932886e-05,0.000236438459976128,"ENSG00000144290.16","SLC4A10","Downregulated"
50.911439084148,-1.09741339864789,0.256831443618416,-4.27289347124628,1.92952653873617e-05,0.000250355799316496,"ENSG00000092068.19","SLC7A8","Downregulated"
6.46502358758575,-1.09590422525523,0.258725539786504,-4.23577906595367,2.27760638691116e-05,0.00028308253075143,"ENSG00000237990.3","CNTN4-AS1","Downregulated"
22.4428201294882,-1.15359956235451,0.2739554621846,-4.21090184935672,2.54353244571246e-05,0.000308634509451897,"ENSG00000268845.1","RP11-1137G4.3","Downregulated"
18.6228644714688,-1.26402715499748,0.306547348570892,-4.12343202735339,3.73268645913646e-05,0.000421588826907472,"ENSG00000066468.22","FGFR2","Downregulated"
6.3322243308819,-1.26962140979267,0.308509271129227,-4.11534280686449,3.86604398384725e-05,0.000432732078268117,"ENSG00000196159.11","FAT4","Downregulated"
43.6684402624181,-1.14514635283769,0.279530726447659,-4.09667433484139,4.19127876228094e-05,0.000462969045628855,"ENSG00000268803.1","RP11-704M14.2","Downregulated"
16.6417980871727,-1.11123648632589,0.279488044303655,-3.97597145557525,7.00925331120331e-05,0.000705307398625648,"ENSG00000168004.9","HRASLS5","Downregulated"
61.6864100681591,-1.49419956403738,0.376031000098045,-3.97360739845329,7.07922154432178e-05,0.000710828964949799,"ENSG00000211821.2","TRDV2","Downregulated"
8.32575369380346,-1.03956411289916,0.265002643888046,-3.92284430693581,8.75097050608943e-05,0.000842786877066198,"ENSG00000130635.15","COL5A1","Downregulated"
8.26119878404576,-1.10348181908419,0.282511663252005,-3.90596907179674,9.38485157951749e-05,0.000889991084090638,"ENSG00000198643.6","FAM3D","Downregulated"
102.904075849328,-1.01402784115884,0.260862458778164,-3.88721261736309,0.000101401929795483,0.000946346823240217,"ENSG00000211695.2","TRGV9","Downregulated"
11.7568335370362,-1.09366782537639,0.28189766174744,-3.87966263571294,0.000104601442771126,0.000967533566598547,"ENSG00000146242.8","TPBG","Downregulated"
5.73405618456351,-1.05118051777082,0.271676050428274,-3.86924248977312,0.000109174020160856,0.0010018121475603,"ENSG00000248824.2","RP11-790I12.6","Downregulated"
32.3620672569025,-1.4228664403257,0.368151479963385,-3.86489398458269,0.000111137461456817,0.00101623892050245,"ENSG00000197353.3","LYPD2","Downregulated"
13.7222123684388,-1.2474589587136,0.324550375511262,-3.84365279734615,0.000121216468867745,0.00108671587573072,"ENSG00000204455.7","TRIM51BP","Downregulated"
257.608428095428,-1.06019356944458,0.276580933605037,-3.83321278016423,0.000126480459352246,0.0011235108454521,"ENSG00000268758.7","ADGRE4P","Downregulated"
256.241504295531,-1.53366921821066,0.402641819833781,-3.80901620910562,0.00013952081234339,0.00121100014349883,"ENSG00000103355.13","PRSS33","Downregulated"
59.5650901183537,-1.024281901319,0.27584976439364,-3.71318751556858,0.000204665128196761,0.00164459055198545,"ENSG00000142408.4","CACNG8","Downregulated"
4.88724163190625,-1.92668669656424,0.519767117673741,-3.70682682888306,0.000209872343257227,0.0016801212970929,"ENSG00000146250.6","PRSS35","Downregulated"
106.010679121909,-1.03474108698976,0.287246057773678,-3.60228124629316,0.000315436817186175,0.00234119792894521,"ENSG00000250696.5","RP11-704M14.1","Downregulated"
31.489586173109,-1.24543359534735,0.346817395430775,-3.59103554710807,0.000329366705500596,0.00242697771594676,"ENSG00000187244.10","BCAM","Downregulated"
29.5583911676635,-1.02328884109807,0.285518192297569,-3.5839707195666,0.000338410038958528,0.00247998723483814,"ENSG00000145423.4","SFRP2","Downregulated"
9.69863810640022,-1.74274216852316,0.490537849492548,-3.55271702341825,0.000381274370301152,0.00271919472095953,"ENSG00000160963.13","COL26A1","Downregulated"
9.71622857038185,-1.23035220366339,0.348266048465227,-3.53279399207999,0.000411192752390962,0.00289051182499389,"ENSG00000237706.4","TRIM51EP","Downregulated"
22.6546624917267,-1.02343973636584,0.290361290066219,-3.5247113557473,0.000423944463668063,0.00296244886877998,"ENSG00000091129.19","NRCAM","Downregulated"
14.7503705880894,-1.03498494808242,0.294438033977134,-3.51511974897508,0.000439555736329022,0.00304620540923394,"ENSG00000197467.13","COL13A1","Downregulated"
8.69112152036534,-1.11668620879165,0.338277490025173,-3.3010952301572,0.000963081877108783,0.00568474420587442,"ENSG00000124780.13","KCNK17","Downregulated"
17.6301796595374,-1.0092633988775,0.307896697672756,-3.2779286251072,0.0010457183356508,0.00607797949634193,"ENSG00000105855.9","ITGB8","Downregulated"
19.0379606035272,-1.28534635281268,0.410933441154126,-3.12786992755498,0.00176078085654955,0.00923681748056454,"ENSG00000274736.4","CCL23","Downregulated"
9.25721079840451,-1.26189825699769,0.426385557529206,-2.95952392081492,0.0030811478053247,0.0143453188144838,"ENSG00000267453.7","LINC01835","Downregulated"
4.73459923621695,-1.46656773905756,0.514439055740789,-2.85080948402277,0.00436080894643435,0.0188431795944366,"ENSG00000149256.15","TENM4","Downregulated"
325.857499606213,-1.16093981146999,0.44885205628838,-2.58646428195064,0.00969662197192735,0.035714170594162,"ENSG00000036448.9","MYOM2","Downregulated"
